2019-02\wellhead_1.png|462x289|924x578|scale=2|OK
2019-02\wellhead_control_panel-1.png|462x289|924x578|scale=2|OK
2019-02\Wellhead_services_DFandE.png|290x240|580x480|scale=2|OK
2019-02\Wellhead_Xmas_Tree_NCEC.png|500x375|750x562|scale=1.5|OK
2019-02\wellhead_yard_assembly.png|462x289|924x578|scale=2|OK
2019-02\xmas_tree_2.png|462x289|924x578|scale=2|OK
2019-04\1-283x376.png|283x376|566x752|scale=2|OK
2019-04\2-283x376.png|283x376|566x752|scale=2|OK
2019-04\3-283x376.png|283x376|566x752|scale=2|OK
2019-04\4-283x376.png|283x376|566x752|scale=2|OK
2019-04\5-283x376.png|283x376|566x752|scale=2|OK
2019-04\6-283x376.png|283x376|566x752|scale=2|OK
2019-04\7-283x376.png|283x376|566x752|scale=2|OK
2019-04\8-283x376.png|283x376|566x752|scale=2|OK
2019-04\agip.jpg|94x92|188x184|scale=2|OK
2019-04\c.png|712x450|1068x675|scale=1.5|OK
2019-04\d.png|712x450|1068x675|scale=1.5|OK
2019-04\daewoo.jpg|268x90|536x180|scale=2|OK
2019-04\e.png|712x450|1068x675|scale=1.5|OK
2019-04\f.png|712x450|1068x675|scale=1.5|OK
2021-05\dfande-2.png|300x110|600x220|scale=2|OK
2021-05\nnpc-iif.png|120x100|240x200|scale=2|OK
